page,case,image_index,xref,width,height,ext,file
92,caso_023,0,527,487,501,jpeg,caso_023_pagina_092_img_00.jpeg
93,caso_024,0,531,252,242,jpeg,caso_024_pagina_093_img_00.jpeg
94,caso_024,0,535,430,491,jpeg,caso_024_pagina_094_img_00.jpeg
95,caso_025,0,539,230,245,jpeg,caso_025_pagina_095_img_00.jpeg
96,caso_025,0,543,427,502,jpeg,caso_025_pagina_096_img_00.jpeg
97,caso_026,0,547,134,238,jpeg,caso_026_pagina_097_img_00.jpeg
98,caso_026,0,550,358,634,jpeg,caso_026_pagina_098_img_00.jpeg
98,caso_026,1,552,386,364,jpeg,caso_026_pagina_098_img_01.jpeg
99,caso_027,0,555,242,81,jpeg,caso_027_pagina_099_img_00.jpeg
100,caso_027,0,558,903,302,jpeg,caso_027_pagina_100_img_00.jpeg
101,caso_027,0,561,350,578,jpeg,caso_027_pagina_101_img_00.jpeg
101,caso_027,1,563,350,579,jpeg,caso_027_pagina_101_img_01.jpeg
102,caso_027,0,567,830,731,jpeg,caso_027_pagina_102_img_00.jpeg
103,caso_028,0,570,136,239,jpeg,caso_028_pagina_103_img_00.jpeg
104,caso_028,0,573,373,656,jpeg,caso_028_pagina_104_img_00.jpeg
104,caso_028,1,575,317,648,jpeg,caso_028_pagina_104_img_01.jpeg
105,caso_029,0,578,111,246,jpeg,caso_029_pagina_105_img_00.jpeg
106,caso_029,0,581,344,773,jpeg,caso_029_pagina_106_img_00.jpeg
106,caso_029,1,583,365,556,jpeg,caso_029_pagina_106_img_01.jpeg
107,caso_030,0,586,201,240,jpeg,caso_030_pagina_107_img_00.jpeg
108,caso_030,0,589,275,863,jpeg,caso_030_pagina_108_img_00.jpeg
108,caso_030,1,591,293,846,jpeg,caso_030_pagina_108_img_01.jpeg
109,caso_031,0,594,151,243,jpeg,caso_031_pagina_109_img_00.jpeg
110,caso_031,0,597,525,864,jpeg,caso_031_pagina_110_img_00.jpeg
111,caso_032,0,600,243,120,jpeg,caso_032_pagina_111_img_00.jpeg
112,caso_032,0,603,921,465,jpeg,caso_032_pagina_112_img_00.jpeg
113,caso_033,0,606,212,247,jpeg,caso_033_pagina_113_img_00.jpeg
114,caso_033,0,609,748,920,jpeg,caso_033_pagina_114_img_00.jpeg
115,caso_034,0,612,117,242,jpeg,caso_034_pagina_115_img_00.jpeg
116,caso_034,0,615,406,389,jpeg,caso_034_pagina_116_img_00.jpeg
116,caso_034,1,617,345,719,jpeg,caso_034_pagina_116_img_01.jpeg
117,caso_035,0,620,163,248,jpeg,caso_035_pagina_117_img_00.jpeg
118,caso_035,0,624,628,960,jpeg,caso_035_pagina_118_img_00.jpeg
119,caso_036,0,627,172,241,jpeg,caso_036_pagina_119_img_00.jpeg
120,caso_036,0,631,716,963,jpeg,caso_036_pagina_120_img_00.jpeg
121,caso_037,0,634,91,240,jpeg,caso_037_pagina_121_img_00.jpeg
122,caso_037,0,639,277,1003,jpeg,caso_037_pagina_122_img_00.jpeg
122,caso_037,1,641,612,447,jpeg,caso_037_pagina_122_img_01.jpeg
123,caso_038,0,644,239,125,jpeg,caso_038_pagina_123_img_00.jpeg
124,caso_038,0,647,902,469,jpeg,caso_038_pagina_124_img_00.jpeg
125,caso_039,0,650,119,237,jpeg,caso_039_pagina_125_img_00.jpeg
126,caso_039,0,653,467,928,jpeg,caso_039_pagina_126_img_00.jpeg
127,caso_039,0,656,899,505,jpeg,caso_039_pagina_127_img_00.jpeg
128,caso_039,0,659,386,747,jpeg,caso_039_pagina_128_img_00.jpeg
129,caso_040,0,662,105,239,jpeg,caso_040_pagina_129_img_00.jpeg
130,caso_040,0,665,406,921,jpeg,caso_040_pagina_130_img_00.jpeg
131,caso_040,0,668,625,923,jpeg,caso_040_pagina_131_img_00.jpeg
132,caso_040,0,671,612,926,jpeg,caso_040_pagina_132_img_00.jpeg
133,caso_041,0,674,238,74,jpeg,caso_041_pagina_133_img_00.jpeg
134,caso_041,0,677,928,289,jpeg,caso_041_pagina_134_img_00.jpeg
135,caso_041,0,680,901,503,jpeg,caso_041_pagina_135_img_00.jpeg
136,caso_041,0,683,374,568,jpeg,caso_041_pagina_136_img_00.jpeg
136,caso_041,1,685,554,361,jpeg,caso_041_pagina_136_img_01.jpeg
